	feat.N	feat.last_char	feat.sample_per_class	model.batch_size	model.layers	model.nb_epoch	result.test_acc
0	1.0	5.0	30000.0	500.0	(40, 40)	300.0	0.8836666666666667
1	1.0	6.0	30000.0	500.0	(40, 40)	300.0	0.88875
2	1.0	7.0	30000.0	500.0	(40, 40)	300.0	0.89125
3	1.0	8.0	30000.0	500.0	(40, 40)	300.0	0.87775
4	2.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9456666666666668
5	2.0	6.0	30000.0	500.0	(40, 40)	300.0	0.94725
6	2.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9475833333333332
7	2.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9444166666666668
8	3.0	5.0	30000.0	500.0	(40, 40)	300.0	0.95975
9	3.0	6.0	30000.0	500.0	(40, 40)	300.0	0.9640000000000001
10	3.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9636666666666668
11	3.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9653333333333334
12	2.0	5.0	10000.0	500.0	(10, 10)	300.0	0.93575
13	2.0	5.0	10000.0	500.0	(10, 20)	300.0	0.9365
14	2.0	5.0	10000.0	500.0	(10, 30)	300.0	0.9285
15	2.0	5.0	10000.0	500.0	(10, 40)	300.0	0.9309999999999999
16	2.0	5.0	10000.0	500.0	(10, 50)	300.0	0.937
17	2.0	5.0	10000.0	500.0	(10, 60)	300.0	0.9279999999999999
18	2.0	5.0	10000.0	500.0	(10, 70)	300.0	0.9305
19	2.0	5.0	10000.0	500.0	(10, 80)	300.0	0.937
20	2.0	5.0	10000.0	500.0	(10, 90)	300.0	0.93775
21	2.0	5.0	10000.0	500.0	(10, 100)	300.0	0.9179999999999999
22	2.0	5.0	10000.0	500.0	(20, 10)	300.0	0.93625
23	2.0	5.0	10000.0	500.0	(20, 20)	300.0	0.92725
24	2.0	5.0	10000.0	500.0	(20, 30)	300.0	0.936
25	2.0	5.0	10000.0	500.0	(20, 40)	300.0	0.9279999999999999
26	2.0	5.0	10000.0	500.0	(20, 50)	300.0	0.93
27	2.0	5.0	10000.0	500.0	(20, 60)	300.0	0.937
28	2.0	5.0	10000.0	500.0	(20, 70)	300.0	0.9285
29	2.0	5.0	10000.0	500.0	(20, 80)	300.0	0.93075
30	2.0	5.0	10000.0	500.0	(20, 90)	300.0	0.93025
31	2.0	5.0	10000.0	500.0	(20, 100)	300.0	0.9165
32	2.0	5.0	10000.0	500.0	(30, 10)	300.0	0.9355
33	2.0	5.0	10000.0	500.0	(30, 20)	300.0	0.92125
34	2.0	5.0	10000.0	500.0	(30, 30)	300.0	0.94225
35	2.0	5.0	10000.0	500.0	(30, 40)	300.0	0.9295
36	2.0	5.0	10000.0	500.0	(30, 50)	300.0	0.9305
37	2.0	5.0	10000.0	500.0	(30, 60)	300.0	0.9329999999999999
38	2.0	5.0	10000.0	500.0	(30, 70)	300.0	0.929
39	2.0	5.0	10000.0	500.0	(30, 80)	300.0	0.9315
40	2.0	5.0	10000.0	500.0	(30, 90)	300.0	0.927
41	2.0	5.0	10000.0	500.0	(30, 100)	300.0	0.9285
42	2.0	5.0	10000.0	500.0	(40, 10)	300.0	0.9305
43	2.0	5.0	10000.0	500.0	(40, 20)	300.0	0.93175
44	2.0	5.0	10000.0	500.0	(40, 30)	300.0	0.93175
45	2.0	5.0	10000.0	500.0	(40, 40)	300.0	0.9390000000000001
46	2.0	5.0	10000.0	500.0	(40, 50)	300.0	0.935
47	2.0	5.0	10000.0	500.0	(40, 60)	300.0	0.9345
48	2.0	5.0	10000.0	500.0	(40, 70)	300.0	0.924
49	2.0	5.0	10000.0	500.0	(40, 80)	300.0	0.92175
50	2.0	5.0	10000.0	500.0	(40, 90)	300.0	0.9305
51	2.0	5.0	10000.0	500.0	(40, 100)	300.0	0.9365
52	2.0	5.0	10000.0	500.0	(50, 10)	300.0	0.9355
53	2.0	5.0	10000.0	500.0	(50, 20)	300.0	0.9329999999999999
54	2.0	5.0	10000.0	500.0	(50, 30)	300.0	0.9285
55	2.0	5.0	10000.0	500.0	(50, 40)	300.0	0.927
56	2.0	5.0	10000.0	500.0	(50, 50)	300.0	0.93
57	2.0	5.0	10000.0	500.0	(50, 60)	300.0	0.9359999999999999
58	2.0	5.0	10000.0	500.0	(50, 70)	300.0	0.92425
59	2.0	5.0	10000.0	500.0	(50, 80)	300.0	0.9325
60	2.0	5.0	10000.0	500.0	(50, 90)	300.0	0.9295
61	2.0	5.0	10000.0	500.0	(50, 100)	300.0	0.937
62	2.0	5.0	10000.0	500.0	(60, 10)	300.0	0.933
63	2.0	5.0	10000.0	500.0	(60, 20)	300.0	0.929
64	2.0	5.0	10000.0	500.0	(60, 30)	300.0	0.92125
65	2.0	5.0	10000.0	500.0	(60, 40)	300.0	0.929
66	2.0	5.0	10000.0	500.0	(60, 50)	300.0	0.92825
67	2.0	5.0	10000.0	500.0	(60, 60)	300.0	0.9225
68	2.0	5.0	10000.0	500.0	(60, 70)	300.0	0.92675
69	2.0	5.0	10000.0	500.0	(60, 80)	300.0	0.9325
70	2.0	5.0	10000.0	500.0	(60, 90)	300.0	0.9405
71	2.0	5.0	10000.0	500.0	(60, 100)	300.0	0.9335
72	2.0	5.0	10000.0	500.0	(70, 10)	300.0	0.93375
73	2.0	5.0	10000.0	500.0	(70, 20)	300.0	0.932
74	2.0	5.0	10000.0	500.0	(70, 30)	300.0	0.9305
75	2.0	5.0	10000.0	500.0	(70, 40)	300.0	0.919
76	2.0	5.0	10000.0	500.0	(70, 50)	300.0	0.9255
77	2.0	5.0	10000.0	500.0	(70, 60)	300.0	0.9315
78	2.0	5.0	10000.0	500.0	(70, 70)	300.0	0.92525
79	2.0	5.0	10000.0	500.0	(70, 80)	300.0	0.9375
80	2.0	5.0	10000.0	500.0	(70, 90)	300.0	0.92975
81	2.0	5.0	10000.0	500.0	(70, 100)	300.0	0.94
82	2.0	5.0	10000.0	500.0	(80, 10)	300.0	0.93525
83	2.0	5.0	10000.0	500.0	(80, 20)	300.0	0.93725
84	2.0	5.0	10000.0	500.0	(80, 30)	300.0	0.929
85	2.0	5.0	10000.0	500.0	(80, 40)	300.0	0.927
86	2.0	5.0	10000.0	500.0	(80, 50)	300.0	0.935
87	2.0	5.0	10000.0	500.0	(80, 60)	300.0	0.92725
88	2.0	5.0	10000.0	500.0	(80, 70)	300.0	0.9325
89	2.0	5.0	10000.0	500.0	(80, 80)	300.0	0.9325
90	2.0	5.0	10000.0	500.0	(80, 90)	300.0	0.93125
91	2.0	5.0	10000.0	500.0	(80, 100)	300.0	0.93525
92	2.0	5.0	10000.0	500.0	(90, 10)	300.0	0.938
93	2.0	5.0	10000.0	500.0	(90, 20)	300.0	0.9259999999999999
94	2.0	5.0	10000.0	500.0	(90, 30)	300.0	0.931
95	2.0	5.0	10000.0	500.0	(90, 40)	300.0	0.9245
96	2.0	5.0	10000.0	500.0	(90, 50)	300.0	0.92525
97	2.0	5.0	10000.0	500.0	(90, 60)	300.0	0.93125
98	2.0	5.0	10000.0	500.0	(90, 70)	300.0	0.92725
99	2.0	5.0	10000.0	500.0	(90, 80)	300.0	0.92625
100	2.0	5.0	10000.0	500.0	(90, 90)	300.0	0.9215
101	2.0	5.0	10000.0	500.0	(90, 100)	300.0	0.93025
102	2.0	5.0	10000.0	500.0	(100, 10)	300.0	0.926
103	2.0	5.0	10000.0	500.0	(100, 20)	300.0	0.93325
104	2.0	5.0	10000.0	500.0	(100, 30)	300.0	0.937
105	2.0	5.0	10000.0	500.0	(100, 40)	300.0	0.9345
106	2.0	5.0	10000.0	500.0	(100, 50)	300.0	0.92625
107	2.0	5.0	10000.0	500.0	(100, 60)	300.0	0.92375
108	2.0	5.0	10000.0	500.0	(100, 70)	300.0	0.93
109	2.0	5.0	10000.0	500.0	(100, 80)	300.0	0.93
110	2.0	5.0	10000.0	500.0	(100, 90)	300.0	0.9365
111	2.0	5.0	10000.0	500.0	(100, 100)	300.0	0.9395
112	1.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9959178383914268
113	1.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9962034251337571
114	1.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9958674414371708
115	2.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9972113633056894
116	2.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9963882116323228
117	2.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9967409898555206
118	1.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9972953615841528
119	1.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9976985354869464
120	1.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9970601732800116
121	2.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9977153361966121
122	2.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9981353119315334
123	2.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9975305510678308
124	1.0	5.0	10000.0	500.0	(40, 40)	300.0	0.98
125	1.0	6.0	10000.0	500.0	(40, 40)	300.0	0.9693333333333334
126	1.0	7.0	10000.0	500.0	(40, 40)	300.0	0.959
127	2.0	5.0	10000.0	500.0	(40, 40)	300.0	0.9893333333333332
128	2.0	6.0	10000.0	500.0	(40, 40)	300.0	0.987
129	2.0	7.0	10000.0	500.0	(40, 40)	300.0	0.9846666666666668
130	1.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9958228905597326
131	1.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9974937343358397
132	1.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9941520467836256
133	2.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9983291562238932
134	2.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9983291562238932
135	2.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9991645781119464
136	1.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9638333333333332
137	1.0	6.0	15000.0	500.0	(40, 40)	300.0	0.955
138	1.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9556666666666668
139	2.0	5.0	15000.0	500.0	(40, 40)	300.0	0.9823333333333332
140	2.0	6.0	15000.0	500.0	(40, 40)	300.0	0.9793333333333332
141	2.0	7.0	15000.0	500.0	(40, 40)	300.0	0.9785
142	1.0	5.0	5000.0	500.0	(40, 40)	300.0	0.9876666666666668
143	1.0	6.0	5000.0	500.0	(40, 40)	300.0	0.9776666666666668
144	1.0	7.0	5000.0	500.0	(40, 40)	300.0	0.978
145	2.0	5.0	5000.0	500.0	(40, 40)	300.0	0.9893333333333332
146	2.0	6.0	5000.0	500.0	(40, 40)	300.0	0.9853333333333332
147	2.0	7.0	5000.0	500.0	(40, 40)	300.0	0.9863333333333332
148	1.0	2.0	30000.0	500.0	(40, 40)	300.0	0.9865353037766832
149	1.0	3.0	30000.0	500.0	(40, 40)	300.0	0.98752052545156
150	1.0	4.0	30000.0	500.0	(40, 40)	300.0	0.9908045977011494
151	1.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9848932676518884
152	1.0	6.0	30000.0	500.0	(40, 40)	300.0	0.9901477832512317
153	1.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9839080459770116
154	1.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9891625615763546
155	2.0	2.0	30000.0	500.0	(40, 40)	300.0	0.9850574712643678
156	2.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9894909688013136
157	2.0	4.0	30000.0	500.0	(40, 40)	300.0	0.9878489326765189
158	2.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9858784893267653
159	2.0	6.0	30000.0	500.0	(40, 40)	300.0	0.9908045977011494
160	2.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9896551724137932
161	2.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9878489326765189
162	1.0	2.0	15000.0	500.0	(40, 40)	300.0	0.7401540154015401
163	1.0	3.0	15000.0	500.0	(40, 40)	300.0	0.7980198019801981
164	1.0	4.0	15000.0	500.0	(40, 40)	300.0	0.7852585258525853
165	1.0	5.0	15000.0	500.0	(40, 40)	300.0	0.8261826182618262
166	1.0	6.0	15000.0	500.0	(40, 40)	300.0	0.8391639163916391
167	1.0	7.0	15000.0	500.0	(40, 40)	300.0	0.7643564356435644
168	1.0	8.0	15000.0	500.0	(40, 40)	300.0	0.7526952695269526
169	2.0	2.0	15000.0	500.0	(40, 40)	300.0	0.7614961496149615
170	2.0	3.0	15000.0	500.0	(40, 40)	300.0	0.8138613861386138
171	2.0	4.0	15000.0	500.0	(40, 40)	300.0	0.8382838283828383
172	2.0	5.0	15000.0	500.0	(40, 40)	300.0	0.8501650165016502
173	2.0	6.0	15000.0	500.0	(40, 40)	300.0	0.8475247524752475
174	2.0	7.0	15000.0	500.0	(40, 40)	300.0	0.8495049504950495
175	2.0	8.0	15000.0	500.0	(40, 40)	300.0	0.8431243124312431
176	1.0	2.0	30000.0	500.0	(40, 40)	300.0	0.8018333333333333
177	1.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9520000000000001
178	1.0	4.0	30000.0	500.0	(40, 40)	300.0	0.9768333333333332
179	1.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9940000000000001
180	1.0	6.0	30000.0	500.0	(40, 40)	300.0	0.9841666666666666
181	1.0	7.0	30000.0	500.0	(40, 40)	300.0	0.981
182	1.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9790833333333332
183	2.0	2.0	30000.0	500.0	(40, 40)	300.0	0.8175
184	2.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9498333333333332
185	2.0	4.0	30000.0	500.0	(40, 40)	300.0	0.9823333333333332
186	2.0	5.0	30000.0	500.0	(40, 40)	300.0	0.9936666666666668
187	2.0	6.0	30000.0	500.0	(40, 40)	300.0	0.993
188	2.0	7.0	30000.0	500.0	(40, 40)	300.0	0.9943333333333332
189	2.0	8.0	30000.0	500.0	(40, 40)	300.0	0.9940000000000001
190	1.0	2.0	5454.545454545455	500.0	(40, 40)	300.0	0.8651666666666666
191	1.0	3.0	5454.545454545455	500.0	(40, 40)	300.0	0.9893333333333332
192	1.0	4.0	5454.545454545455	500.0	(40, 40)	300.0	0.9893333333333332
193	1.0	5.0	5454.545454545455	500.0	(40, 40)	300.0	0.9865
194	1.0	6.0	5454.545454545455	500.0	(40, 40)	300.0	0.9871666666666666
195	1.0	7.0	5454.545454545455	500.0	(40, 40)	300.0	0.983
196	1.0	8.0	5454.545454545455	500.0	(40, 40)	300.0	0.981
197	2.0	2.0	5454.545454545455	500.0	(40, 40)	300.0	0.8668333333333333
198	2.0	3.0	5454.545454545455	500.0	(40, 40)	300.0	0.9886666666666668
199	2.0	4.0	5454.545454545455	500.0	(40, 40)	300.0	0.9901666666666666
200	2.0	5.0	5454.545454545455	500.0	(40, 40)	300.0	0.9926666666666668
201	2.0	6.0	5454.545454545455	500.0	(40, 40)	300.0	0.9885
